kcdbCode,categoryValue,subCategoryValue,analyteValue,analyteMatrix,quantityValue,cmc_low,cmc_high,cmc_unit,unc_low,unc_high,unc_unit,uncertaintyMode,coverageFactor,confidenceLevel,mechanism,publicationDate,status
APMP-QM-KR-000000IU-1,"Surfaces, films, and engineered nanomaterials",Inorganic,iron,Fe-Ni alloy film,Amount-of-substance fraction of Fe,0.477,0.512,mol/mol,5.8,6.8,%,Relative,2.0,95.0,CRM 103-04-012,2013-06-13,Published
APMP-QM-KR-000000TW-1,Other materials,"Other than cements, paints, textiles, glasses, thin films, coatings, insulating materials, rubber, and adhesives",arsenic,cosmetic powder,Mass fraction,1.0,100.0,mg/kg,5.0,10.0,%,Relative,2.0,95.0,CRM 114-01-002,2016-01-20,Published
APMP-QM-KR-000000TY-1,Other materials,"Other than cements, paints, textiles, glasses, thin films, coatings, insulating materials, rubber, and adhesives",arsenic,cosmetic cream,Mass fraction,1.0,100.0,mg/kg,8.5,10.0,%,Relative,2.0,95.0,CRM 114-01-004,2016-01-20,Published
APMP-QM-KR-00000422-1,Gases,Environmental,nitrogen trifluoride,nitrogen,Amount-of-substance fraction,1e-05,0.1,mol/mol,0.5,0.5,%,Relative,2.0,95.0,CRM 112-01-2706N,2016-01-20,Published
APMP-QM-KR-00000423-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical",chloroform,nitrogen,Amount-of-substance fraction,0.0001,0.001,mol/mol,1.5,1.5,%,Relative,2.0,95.0,CRM 112-01-086,2016-01-20,Published
APMP-QM-KR-00000428-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical","1,2-dichloroethane",nitrogen,Amount-of-substance fraction,0.0001,0.001,mol/mol,1.5,1.5,%,Relative,2.0,95.0,CRM 112-01-091,2016-01-20,Published
APMP-QM-KR-0000042D-1,Gases,Environmental,tetrachloroethylene,nitrogen,Amount-of-substance fraction,1e-05,0.0001,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-03-787,2016-01-20,Published
APMP-QM-KR-0000042T-1,Gases,Environmental,dichlorodifluoromethane (CFC-12),air,Amount-of-substance fraction,5e-05,10.0,µmol/mol,0.5,0.5,%,Relative,2.0,95.0,CRM 112-011-037,2016-01-20,Published
APMP-QM-KR-0000042W-1,Gases,Environmental,"1,1,1,2-tetrafluoroethane (HFC-134a)",air,Amount-of-substance fraction,5e-05,10.0,µmol/mol,10.0,10.0,%,Relative,2.0,95.0,CRM 112-011-040,2016-01-20,Published
APMP-QM-KR-0000043H-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical",methane,air,Amount-of-substance fraction,1.8,500000.0,µmol/mol,0.06,0.06,%,Relative,2.0,95.0,CRM 112-01-320M,2017-08-30,Published
APMP-QM-KR-0000044O-1,Gases,Environmental,carbonyl sulfide,nitrogen,Amount-of-substance fraction,100.0,1000.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM 112-03-2502N,2018-09-26,Published
APMP-QM-KR-0000044P-1,Gases,Environmental,carbon disulfide,nitrogen,Amount-of-substance fraction,100.0,1000.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM 112-03-2503N,2018-09-26,Published
APMP-QM-KR-0000044Q-1,Gases,Environmental,methylmercaptan,nitrogen,Amount-of-substance fraction,100.0,1000.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM 112-03-2504N,2018-09-26,Published
APMP-QM-KR-0000045A-1,Gases,Environmental,ethanethiol,methane,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM 112-03-6533M,2018-09-26,Published
APMP-QM-KR-0000045F-1,Gases,Environmental,diethyl sulfide,nitrogen,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-790,2018-09-26,Published
APMP-QM-KR-0000045I-1,Gases,Environmental,2-propanethiol,nitrogen,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-753,2018-09-26,Published
APMP-QM-KR-0000045O-1,Gases,Environmental,dimethyl sulfide,nitrogen,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-736,2018-09-26,Published
APMP-QM-KR-0000045R-1,Gases,Environmental,methanethiol,nitrogen,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-731,2018-09-26,Published
APMP-QM-KR-00000461-1,Gases,Fuel,diethyl sulfide,methane,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-796,2018-09-26,Published
APMP-QM-KR-00000469-1,Gases,Fuel,carbon disulfide,methane,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-728,2018-09-26,Published
APMP-QM-KR-0000046G-1,Gases,Fuel,tetrahydrothiophene,methane,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-738,2018-09-26,Published
APMP-QM-KR-0000046Y-1,Gases,Fuel,ethane,LPG,Amount-of-substance fraction,2.0,15.0,cmol/mol,1.1,1.1,%,Relative,2.0,95.0,"CRM112-01-361, CRM112-01-730",2018-09-26,Published
APMP-QM-KR-00000475-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical",neon,noble gases,Amount-of-substance fraction,0.1,96.0,cmol/mol,0.2,0.2,%,Relative,2.0,95.0,"CRM112-01-039, CRM112-040, CRM112-03-041, CRM112-03-042, CRM112-03-043, CRM112-03-044, CRM112-01-701",2018-09-26,Published
APMP-QM-KR-000004EX-1,Food,Contaminants,cadmium,milk powder,Mass fraction,1.0,3.0,mg/kg,0.02,0.01,mg/kg,Absolute,2.0,95.0,Assignment of reference values for KOLAS proficiency test,2007-04-06,Published
APMP-QM-KR-000004F0-1,Food,Nutritional constituents,iron,oyster tissue,Mass fraction,100.0,500.0,mg/kg,0.7,6.0,%,Absolute,2.0,95.0,Assignment of reference values for KOLAS proficiency test,2005-04-29,Published
APMP-QM-KR-000004FK-1,Food,Nutritional constituents,retinol,dairy products,Mass fraction (dry mass base),1.0,100.0,mg/kg,5.0,1.0,%,Relative,2.0,95.0,CRM 108-02-001 and PT Providing,2013-06-13,Published
APMP-QM-KR-000004FX-1,Food,Nutritional constituents,copper,rice,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-01-004, PT providing
",2013-06-13,Published
APMP-QM-KR-000004G2-1,Food,Nutritional constituents,copper,soybean,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-01-005, PT providing",2013-06-13,Published
APMP-QM-KR-000004G9-1,Food,Nutritional constituents,iron,oyster,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-04-001, PT providing",2013-06-13,Published
APMP-QM-KR-000004GC-1,Food,Contaminants,mercury,tuna,Mass fraction,0.1,1000.0,mg/kg,2.0,5.0,%,Relative,2.0,95.0,"CRM 108-04-002, PT providing",2013-06-13,Published
APMP-QM-KR-000004GH-1,Food,Nutritional constituents,zinc,water dropwort,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Absolute,2.0,95.0,"CRM 108-05-001, PT providing",2013-06-13,Published
APMP-QM-KR-000004GJ-1,Food,Contaminants,tin,tomato paste,Mass fraction,100.0,500.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-05-005, PT providing",2013-06-13,Published
APMP-QM-KR-000004GO-1,Food,Nutritional constituents,iron,chinese cabbage,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-05-002, PT providing",2013-06-13,Published
APMP-QM-KR-000004GR-1,Food,Nutritional constituents,copper,infant formula,Mass fraction,1.0,200.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-02-002, PT providing",2013-06-13,Published
APMP-QM-KR-000004GU-1,Food,Contaminants,cadmium,mushroom,Mass fraction,1.0,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-011, PT providing",2013-06-13,Published
APMP-QM-KR-000004GX-1,Food,Nutritional constituents,copper,tea leaf,Mass fraction,1.0,200.0,mg/kg,0.5,5.0,%,Relative,2.0,95.0,"CRM 108-10-009, PT providing",2013-06-13,Published
APMP-QM-KR-000004H1-1,Food,Contaminants,cadmium,hijiki,Mass fraction,0.5,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-002, PT providing",2013-06-13,Published
APMP-QM-KR-000004H3-1,Food,Contaminants,cadmium,herb,Mass fraction,0.1,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-014, PT providing",2013-06-13,Published
APMP-QM-KR-000004H4-1,Food,Contaminants,lead,herb,Mass fraction,0.5,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-014, PT providing",2013-06-13,Published
APMP-QM-KR-000004H7-1,Food,Contaminants,arsenic,oyster,Mass fraction,1.0,100.0,mg/kg,2.0,10.0,%,Relative,2.0,95.0,"CRM 108-04-003, PT providing",2013-12-19,Published
APMP-QM-KR-000004HF-1,Food,Nutritional constituents,riboflavin,dairy products,Mass fraction (dry mass base),0.5,300.0,mg/kg,5.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004HH-1,Food,Nutritional constituents,pyridoxine,dairy products,Mass fraction (dry mass base),0.5,300.0,mg/kg,5.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004HJ-1,Food,Nutritional constituents,delta-tocopherol,dairy products,Mass fraction (dry mass base),1.0,500.0,mg/kg,15.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004HN-1,Food,Nutritional constituents,trans-phylloquinone,dairy products,Mass fraction (dry mass base),0.05,100.0,mg/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004HO-1,Food,Nutritional constituents,cholesterol,dairy products,Mass fraction (dry mass base),10.0,900.0,mg/kg,15.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004HP-1,Food,Nutritional constituents,stearic acid,dairy products,Mass fraction (dry mass base),0.01,50.0,g/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004HQ-1,Food,Nutritional constituents,oleic acid,dairy products,Mass fraction (dry mass base),0.01,100.0,g/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004HX-1,Food,Nutritional constituents,cholecalciferol,food supplement,Mass fraction (dry mass base),0.1,500.0,mg/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004HZ-1,Food,Nutritional constituents,linoleic acid,dairy products,Mass fraction (dry mass base),0.001,100.0,g/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004I1-1,Food,Nutritional constituents,gamma-linolenic acid,dairy products,Mass fraction (dry mass base),1.0,1000.0,mg/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004I5-1,Food,Nutritional constituents,thiamin,rice,Mass fraction (dry mass base),0.1,500.0,mg/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-01-007,2018-09-26,Published
APMP-QM-KR-000004I6-1,Food,Nutritional constituents,thiamin,wheat,Mass fraction (dry mass base),0.1,500.0,mg/kg,10.0,1.0,%,Relative,2.0,95.0,"CRM 108-01-009, PT Providing",2018-09-26,Published
APMP-QM-KR-000004I7-1,Food,Nutritional constituents,cis-phylloquinone,spinach,Mass fraction (dry mass base),0.05,500.0,mg/kg,25.0,1.0,%,Relative,2.0,95.0,CRM 108-05-010,2018-09-26,Published
APMP-QM-KR-000004IA-1,Food,Nutritional constituents,trans-phylloquinone,cabbage,Mass fraction (dry mass base),0.1,500.0,mg/kg,20.0,1.0,%,Relative,2.0,95.0,CRM 108-05-011,2018-09-26,Published
APMP-QM-KR-000004NB-1,Biological fluids and materials,Blood serum,creatinine,human serum (frozen),Mass fraction,2.0,100.0,mg/kg,0.3,1.5,mg/kg,Absolute,2.3,95.0,KRISS CRM 111-01-A,2001-10-21,Published
APMP-QM-KR-000004ND-1,Biological fluids and materials,Blood serum,urea,human serum (frozen),Mass fraction,100.0,1200.0,mg/kg,1.8,22.0,mg/kg,Absolute,2.3,95.0,KRISS CRM 111-01-A,2001-10-21,Published
APMP-QM-KR-000004NR-1,Biological fluids and materials,Blood serum,d-glucose,human serum (frozen or lyophilized),Mass fraction,200.0,4000.0,mg/kg,2.0,1.0,%,Relative,2.0,95.0,KRISS CRM 111-05-A1,2012-09-06,Published
APMP-QM-KR-00000JWM-1,Advanced materials,Polymers and plastics,gamma-HBCD,plastic (HIPS),Mass fraction,50.0,500.0,mg/kg,5.0,2.0,%,Relative,2.0,95.0,CRM 113-03-009,2020-04-08,Published
APMP-QM-KR-00000JWP-1,Advanced materials,Polymers and plastics,chrysene,plastic (HIPS),Mass fraction,200.0,2000.0,µg/kg,5.0,2.0,%,Relative,2.0,95.0,CRM 113-03-010,2020-04-08,Published
APMP-QM-KR-00000JWY-1,Biological fluids and materials,Blood serum,5-methyltetrahydrofolic acid,plasma,Mass fraction,1.0,50.0,µg/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 111-01-018,2020-04-08,Published
APMP-QM-KR-0000043E-2,Gases,Environmental,sulfur dioxide,nitrogen,Amount-of-substance fraction,0.06,10.0,µmol/mol,100.0,0.3,%,Relative,2.0,95.0,CRM 112-03-520,2020-09-21,Published
APMP-QM-KR-0000043F-2,Gases,Environmental,sulfur dioxide,nitrogen,Amount-of-substance fraction,10.0,500000.0,µmol/mol,0.3,0.3,%,Relative,2.0,95.0,CRM 112-03-522,2020-09-21,Published
APMP-QM-KR-0000044G-2,Gases,Environmental,nitrogen dioxide,nitrogen,Amount-of-substance fraction,10.0,1000.0,µmol/mol,3.0,3.0,%,Relative,2.0,95.0,"CRM 112-03-529, CRM 112-03-530, CRM 112-03-531",2020-09-21,Published
APMP-QM-KR-00000LNO-1,Food,Contaminants,chrysene,olive oil,Mass fraction,0.5,50.0,µg/kg,5.0,2.0,%,Relative,2.0,95.0,Assignment of reference values for KOLAS proficiency test,2020-09-21,Published
APMP-QM-KR-00000LNQ-1,Food,Contaminants,benzo(a)pyrene,olive oil,Mass fraction,0.5,50.0,µg/kg,5.0,2.0,%,Relative,2.0,95.0,Assignment of reference values for KOLAS proficiency test,2020-09-21,Published
APMP-QM-KR-0000042K-2,Gases,Environmental,tetrachloroethylene,nitrogen,Amount-of-substance fraction,20.0,100.0,nmol/mol,5.0,2.0,%,Relative,2.0,95.0,CRM 112-03-701,2021-10-25,Published
APMP-QM-KR-0000042M-2,Gases,Environmental,"1,3-butadiene",nitrogen,Amount-of-substance fraction,20.0,100.0,nmol/mol,5.0,2.0,%,Relative,2.0,95.0,CRM 112-03-701,2021-10-25,Published
APMP-QM-KR-00000471-2,Gases,Fuel,i-butane,LPG,Amount-of-substance fraction,1.0,95.0,cmol/mol,0.8,0.8,%,Relative,2.0,95.0,"CRM112-01-361, CRM112-01-730",2021-10-25,Published
APMP-QM-KR-00000474-3,Gases,Fuel,isopentane,LPG,Amount-of-substance fraction,1.0,15.0,cmol/mol,1.7,1.7,%,Relative,2.0,95.0,"CRM112-01-361, CRM112-01-730",2021-10-25,Published
APMP-QM-KR-00000433-4,Gases,"Other than high purity, environmental, fuel, forensic, or medical",carbon dioxide,nitrogen or air or synthetic air,Amount-of-substance fraction,0.05,10.0,µmol/mol,100.0,0.05,%,Relative,2.0,95.0,CRM 112-01-2141N,2022-05-25,Published
APMP-QM-KR-000003XI-2,Gases,"Other than high purity, environmental, fuel, forensic, or medical",argon,air,Amount-of-substance fraction,1e-05,0.5,mol/mol,5.0,0.2,%,Relative,2.0,95.0,CRM 112-01-3136,2022-08-24,Published
APMP-QM-KR-000003YZ-2,Gases,Environmental,m-xylene,nitrogen,Amount-of-substance fraction,1e-05,0.0001,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-03-2403M,2022-09-19,Published
APMP-QM-KR-000003Z1-2,Gases,Environmental,o-xylene,nitrogen,Amount-of-substance fraction,1e-05,0.0001,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-03-2405M,2022-09-19,Published
APMP-QM-KR-0000040L-3,Gases,Environmental,o-xylene,nitrogen,Amount-of-substance fraction,1e-06,1e-05,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-03-2405L,2022-10-06,Published
APMP-QM-KR-00000NMB-1,Food,Contaminants,Clothianidin,chinese cabbage,Mass fraction (dry mass correction),0.1,50.0,mg/kg,4.0,1.0,%,Relative,2.0,95.0,CRM 108-05-013,2022-05-13,Published
APMP-QM-KR-00000NMH-1,Food,Nutritional constituents,linoleic acid,rice,Mass fraction (dry mass correction),10.0,5000.0,mg/kg,10.0,2.0,%,Relative,2.4,95.0,CRM 108-01-007,2022-05-13,Published
APMP-QM-KR-00000OBT-1,Food,Contaminants,chrysene,Soybean oil,Mass fraction,0.5,50.0,µg/kg,5.0,2.0,%,Relative,2.0,95.0,CRM,2023-11-09,Published
APMP-QM-KR-00000OBU-1,Food,Contaminants,benzo(b)fluoranthene,Soybean oil,Mass fraction,0.5,50.0,µg/kg,7.0,2.0,%,Relative,2.0,95.0,CRM,2023-11-09,Published
APMP-QM-KR-00000OC1-1,Advanced materials,Polymers and plastics,dicyclohexyl phthalate,Plastic (PVC),Mass fraction,300.0,1000.0,mg/kg,7.0,2.0,%,Relative,2.0,95.0,CRM 113-03-011,2023-11-09,Published
APMP-QM-KR-00000OCQ-1,Food,Nutritional constituents,zinc,Kimchi,Mass fraction,20.0,200.0,mg/kg,2.0,5.0,%,Relative,2.0,95.0,"CRM, PT providing, calibration service",2023-11-09,Published
APMP-QM-KR-0000041E-3,Gases,Environmental,benzene,nitrogen,Amount-of-substance fraction,5.0,10000.0,nmol/mol,5.0,5.0,%,Relative,2.0,95.0,CRM 112-03-2417M,2025-08-25,Published
APMP-QM-KR-0000044N-2,Gases,Environmental,hydrogen sulfide,nitrogen,Amount-of-substance fraction,10.0,500.0,µmol/mol,0.9,0.9,%,Relative,2.0,95.0,CRM 112-03-2501M,2025-08-25,Published
APMP-QM-KR-00000QC1-1,Gases,Environmental,ozone,air,Amount -of-substance fraction,0.0,1000.0,nmol/mol,1.0,9.2,nmol/mol,Absolute,2.0,95.0,Calibration service with SRP,2025-08-25,Published
APMP-QM-KR-000000GL-1,Inorganic solutions,Elemental,arsenic,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-003,2013-03-12,Published
APMP-QM-KR-000000GR-1,Inorganic solutions,Elemental,iron,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-014,2013-03-12,Published
APMP-QM-KR-000000GV-1,Inorganic solutions,Elemental,mercury,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-019,2013-03-12,Published
APMP-QM-KR-000000GW-1,Inorganic solutions,Elemental,molybdenum,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-020,2013-03-12,Published
APMP-QM-KR-000000H7-1,Inorganic solutions,Elemental,antimony,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-002,2013-03-12,Published
APMP-QM-KR-000000HB-1,Inorganic solutions,Elemental,gadolinium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-012,2013-03-12,Published
APMP-QM-KR-000000HE-1,Inorganic solutions,Elemental,silicon,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-025,2013-03-12,Published
APMP-QM-KR-000000IC-1,Advanced materials,Polymers and plastics,"BDE 183 (2,2',3,4,4',5',6-heptabromodiphenyl ether)",plastic (HIPS),Mass fraction,1.0,1000.0,mg/kg,5.0,30.0,%,Relative,2.0,95.0,CRM,2010-07-19,Published
APMP-QM-KR-000000ID-1,Advanced materials,Polymers and plastics,"BDE 206 (2,2',3,3',4,4',5,5',6-nonabromodiphenyl ether)",plastic (HIPS),Mass fraction,1.0,1000.0,mg/kg,5.0,30.0,%,Relative,2.0,95.0,CRM,2010-07-19,Published
APMP-QM-KR-000000IN-1,Advanced materials,Polymers and plastics,antimony,acrylonitrile butadiene styrene (ABS),Mass fraction,10.0,2000.0,mg/kg,2.5,10.0,%,Relative,2.0,95.0,"CRM 113-01-011, CRM 113-01-012, CRM 113-01-013, CRM 113-01-014, CRM 113-01-015",2013-06-13,Published
APMP-QM-KR-000000IR-1,Advanced materials,Polymers and plastics,lead,polypropylene (PP),Mass fraction,10.0,2000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 113-01-001, CRM 113-01-002, CRM 113-01-003, CRM 113-01-004, CRM 113-01-005",2013-06-13,Published
APMP-QM-KR-000000TX-1,Other materials,"Other than cements, paints, textiles, glasses, thin films, coatings, insulating materials, rubber, and adhesives",arsenic,cosmetic cream,Mass fraction,1.0,100.0,mg/kg,5.0,10.0,%,Relative,2.0,95.0,CRM 114-01-003,2016-01-20,Published
APMP-QM-KR-0000042B-1,Gases,Environmental,trichloromethane,nitrogen,Amount-of-substance fraction,1e-05,0.0001,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-03-783,2016-01-20,Published
APMP-QM-KR-0000042X-1,Gases,Environmental,chlorodifluoroethane (HCFC-22),air,Amount-of-substance fraction,5e-05,10.0,µmol/mol,8.0,8.0,%,Relative,2.0,95.0,CRM 112-011-041,2016-01-20,Published
APMP-QM-KR-00000447-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical",ethanol,air,Amount-of-substance fraction,50.0,500.0,µmol/mol,0.53,0.53,%,Relative,2.0,95.0,CRM 112-01-3331N,2018-09-26,Published
APMP-QM-KR-0000044S-1,Gases,Environmental,dimethyl disulfide,nitrogen,Amount-of-substance fraction,100.0,1000.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM 112-03-2510N,2018-09-26,Published
APMP-QM-KR-0000044Z-1,Gases,Environmental,helium,neon,Amount-of-substance fraction,0.1,96.0,cmol/mol,0.2,0.2,%,Relative,2.0,95.0,CRM-112-01-00000,2018-09-26,Published
APMP-QM-KR-00000455-1,Gases,Environmental,helium,argon,Amount-of-substance fraction,0.1,1.0,cmol/mol,0.2,0.2,%,Relative,2.0,95.0,CRM-112-01-00000,2018-09-26,Published
APMP-QM-KR-0000045G-1,Gases,Environmental,methanethiol,nitrogen,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-730,2018-09-26,Published
APMP-QM-KR-0000045N-1,Gases,Environmental,carbon disulfide,nitrogen,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-728,2018-09-26,Published
APMP-QM-KR-0000045V-1,Gases,Environmental,2-methyl-2-propanethiol,nitrogen,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-740,2018-09-26,Published
APMP-QM-KR-00000465-1,Gases,Fuel,1-propanethiol,methane,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-795,2018-09-26,Published
APMP-QM-KR-00000466-1,Gases,Fuel,2-methyl-2-propanethiol,methane,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-739,2018-09-26,Published
APMP-QM-KR-0000046A-1,Gases,Fuel,dimethyl sulfide,methane,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-734,2018-09-26,Published
APMP-QM-KR-0000046F-1,Gases,Fuel,2-methyl-2-propanethiol,methane,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-740,2018-09-26,Published
APMP-QM-KR-000004EV-1,Food,Contaminants,chromium,oyster tissue,Mass fraction,0.2,1.0,mg/kg,0.1,0.05,mg/kg,Absolute,2.0,95.0,CRM 108-04-001,2007-04-06,Published
APMP-QM-KR-000004FC-1,Food,"Other than nutritional constituents, contaminants, and GMOs",propyl 4-hydroxybenzonate,"beverage, fruit juice",Mass fraction,1.0,2000.0,mg/kg,4.0,1.0,%,Absolute,2.0,95.0,PT Providing,2013-06-13,Published
APMP-QM-KR-000004FG-1,Food,"Other than nutritional constituents, contaminants, and GMOs",ibuprofen,phamarceutical tablet or powder,Mass fraction,0.1,0.9,kg/kg,3.0,1.0,%,Relative,2.0,95.0,CRM 111-09-001 and PT Providing,2013-06-13,Published
APMP-QM-KR-000004G1-1,Food,Contaminants,cadmium,soybean,Mass fraction,0.1,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-01-005, PT providing",2013-06-13,Published
APMP-QM-KR-000004G3-1,Food,Nutritional constituents,iron,soybean,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-01-005, PT providing",2013-06-13,Published
APMP-QM-KR-000004G7-1,Food,Nutritional constituents,copper,oyster,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-04-001, PT providing",2013-06-13,Published
APMP-QM-KR-000004GA-1,Food,Contaminants,mercury,oyster,Mass fraction,0.1,1000.0,mg/kg,2.0,5.0,%,Relative,2.0,95.0,"CRM 108-04-001, PT providing",2013-06-13,Published
APMP-QM-KR-000004GI-1,Food,Nutritional constituents,iron,water dropwort,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Absolute,2.0,95.0,"CRM 108-05-001, PT providing",2013-06-13,Published
APMP-QM-KR-000004GQ-1,Food,Contaminants,lead,ginseng,Mass fraction,0.1,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-006, PT providing",2013-06-13,Published
APMP-QM-KR-000004GS-1,Food,Nutritional constituents,iron,infant formula,Mass fraction,10.0,200.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-02-002, PT providing",2013-06-13,Published
APMP-QM-KR-000004GV-1,Food,Contaminants,lead,mushroom,Mass fraction,1.0,100.0,mg/kg,2.0,10.0,%,Relative,2.0,95.0,"CRM 108-10-011, PT providing",2013-06-13,Published
APMP-QM-KR-000004GW-1,Food,Contaminants,chromium,tea leaf,Mass fraction,0.1,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-009, PT providing",2013-06-13,Published
APMP-QM-KR-000004GY-1,Food,Nutritional constituents,iron,tea leaf,Mass fraction,1.0,200.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-009, PT providing",2013-06-13,Published
APMP-QM-KR-000004H6-1,Food,Contaminants,arsenic,oyster,Mass fraction,1.0,100.0,mg/kg,2.5,5.0,%,Relative,2.0,95.0,"CRM 108-04-003, PT providing",2013-12-19,Published
